Year,Tool_Name,Industry,Purpose,Region,Users_Count,Daily_Usage_Hours,Productivity_Gain_Percent,Satisfaction_Level
2021,GrammarlyGO,E-commerce,Data Analysis,North America,96901,3.74,42.1,1
2022,Beautiful.ai,Education,Presentations,Africa,77852,1.03,16.9,2
2024,Synthesia,Education,Presentations,South America,129376,0.4,63.3,3
2025,DALL-E,Finance,Design,Africa,105023,4.21,20.1,5
2023,Pictory,Healthcare,Design,South America,68097,1.73,37.9,4
2022,Gamma AI,Design,Content Writing,Oceania,68028,2.33,24.6,5
2022,Notion AI,Healthcare,Research,Europe,51615,1.67,28.9,2
2022,DeepL Write,Healthcare,Meeting Notes,South America,91427,2.44,52.8,5
2025,Codeium,E-commerce,Research,Asia,84025,3.08,10.6,3
2021,DALL-E,Finance,Content Writing,Europe,39257,3.16,17.7,3
2023,Adobe Firefly,Education,Research,South America,63980,3.52,33.1,2
2023,Writesonic,Software Development,Coding,North America,73249,0.87,36.2,1
2022,Durable AI,E-commerce,Content Writing,Africa,106676,1.77,37.6,4
2023,Tabnine,E-commerce,Content Writing,South America,45374,2.87,18.5,2
2021,Codeium,Software Development,Research,South America,104153,0.72,19.2,4
2024,Notion AI,Design,Design,South America,87141,0.51,26.5,2
2025,Copy.ai,Education,Meeting Notes,Asia,37644,4.2,28.3,5
2021,Writesonic,Healthcare,Meeting Notes,Asia,60404,1.62,38.9,1
2025,Copy.ai,Marketing,Data Analysis,Oceania,91722,0.65,64.3,5
2023,Pictory,Marketing,Design,North America,70447,3.93,19.3,1
2024,Pictory,Finance,Presentations,North America,112929,3.92,12.2,1
2022,Notion AI,Media,Design,Asia,109938,1.98,14.6,2
2023,Notion AI,Marketing,Content Writing,South America,91937,1.86,11.6,3
2021,Writesonic,Finance,Meeting Notes,Asia,111266,1.76,26.5,1
2025,Phind,Software Development,Content Writing,South America,106375,4.47,34.9,1
2022,Pictory,Finance,Coding,Oceania,122687,0.86,48.7,5
2025,Stable Diffusion,Media,Presentations,North America,92841,3.92,36.1,3
2024,GitHub Copilot,E-commerce,Presentations,Europe,128141,2.76,32.4,5
2024,Adobe Firefly,Marketing,Image Generation,South America,84611,1.78,37.0,2
2021,Stable Diffusion,Design,Coding,South America,73029,4.57,22.2,4
2023,GitHub Copilot,Education,Content Writing,Africa,126336,1.38,12.4,2
2021,GrammarlyGO,Media,Data Analysis,North America,66451,1.66,17.2,5
2022,DALL-E,E-commerce,Data Analysis,South America,109462,4.08,18.6,4
2021,Otter.ai,Healthcare,Research,North America,91862,4.5,38.7,5
2021,Cursor AI,Software Development,Presentations,Europe,60938,1.37,32.3,4
2022,Tome AI,Marketing,Presentations,Asia,72170,4.14,57.1,1
2022,Otter.ai,E-commerce,Content Writing,South America,82153,2.26,20.7,4
2024,Synthesia,E-commerce,Design,North America,74962,0.86,27.2,1
2024,Google Gemini,Software Development,Coding,South America,77161,2.74,48.1,1
2025,Codeium,Media,Image Generation,Africa,94121,2.01,63.4,2
2025,Replit Ghostwriter,Marketing,Coding,North America,24436,1.64,10.1,2
2024,Claude,Software Development,Image Generation,Europe,81204,3.16,36.7,3
2021,Claude,E-commerce,Presentations,South America,76229,0.98,35.9,4
2024,Codeium,Finance,Image Generation,North America,91046,4.93,21.8,2
2025,Fireflies.ai,Design,Design,Asia,116284,1.42,49.5,3
2023,DeepL Write,Media,Coding,Africa,104557,2.03,44.0,2
2024,Wordtune,Media,Image Generation,Oceania,99605,0.72,55.6,4
2024,DeepL Write,Finance,Presentations,Asia,147713,1.81,18.6,5
2021,QuillBot,E-commerce,Presentations,South America,84989,3.48,8.9,3
2025,Descript,Education,Image Generation,Africa,66895,2.71,20.9,3
2021,Fireflies.ai,E-commerce,Data Analysis,Asia,50130,3.55,30.0,3
2023,Otter.ai,Education,Content Writing,North America,96207,4.7,15.8,2
2022,Tome AI,Marketing,Design,Asia,58502,4.65,58.0,5
2025,Fireflies.ai,Software Development,Research,Asia,72338,1.51,45.6,2
2025,Writesonic,E-commerce,Content Writing,Europe,88823,2.79,21.8,4
2025,Descript,E-commerce,Data Analysis,Africa,121214,0.74,59.1,4
